FID_,OBJECTID,PointID,Accuracy,Type,ObsID,ObsID_1,EO_ID,Species,Year,Month,Day,TimeStart,TimeEnd,UseID,ExtDB,ExtDBID,ExtJoinFie,ExtJoinVal,POINT_X,POINT_Y
,3323,Point_2098,12,Animal Location,2098,2098,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],225A,354685.1569,4977031.257
,3324,Point_4199,10,Animal Location,4070,4070,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],252D,353097.228,4970281.612
,3325,Point_2228,12,Animal Location,2228,2228,6858,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],252C,352427.2874,4971394.461
,3326,Point_2232,12,Animal Location,2232,2232,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],252B,350985,4970270
,3327,Point_2204,12,Animal Location,2204,2204,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],252A,350469.296,4968750.269
,3328,Point_2209,12,Animal Location,2209,2209,228,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],219B,338830,4961490
,3329,Point_4200,12,Animal Location,4071,4071,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],365A,348073.3657,4958322.25
,3330,Point_4201,10,Animal Location,4072,4072,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],365B,347940.0712,4959594.702
,3331,Point_4202,12,Animal Location,4081,4081,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],219A,336737.621,4961432.871
,3332,Point_4203,10,Animal Location,4080,4080,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],567A,341342.4402,4962178.323
,3333,Point_4204,12,Animal Location,4082,4082,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],311B,338344.956,4954331.278
,3334,Point_2346,12,Animal Location,2346,2346,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],311A,338943.738,4954264.189
,3335,Point_2267,12,Animal Location,2267,2267,1318,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],282A,367667.0376,4946616.593
,3336,Point_4205,10,Animal Location,4073,4073,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],523A,356745.825,4924745.036
,3337,Point_1615,12,Animal Location,1615,1615,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],002A,412281,4906670
,3338,Point_1564,12,Animal Location,1564,1564,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],002B,412169,4906650
,3339,Point_2023,12,Animal Location,2023,2023,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],002C,412259,4906640
,3340,Point_2059,12,Animal Location,2059,2059,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],002D,412167,4906610
,3341,Point_2235,12,Animal Location,2235,2235,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],002E,412212,4906650
