"","nest_id","nest_area","lat","long","intact","first_mon","last_mon","last_intact","last_occ","site_name","comments","landscape","county"
"249","299A","299",5058653,553518,"Yes",2000,"2013",2013,2013,"","","interior","Aroostook"
"250","300B","300",4926037,544694,"Yes",2013,"2013",2013,2013,"Weymouth Point vicinity","","coastal","Hancock"
"251","301C","301",5003957,422456,"Yes",2011,"2013",2013,2013,"Henhawk Island","","interior","Somerset"
"252","302A","302",5004160,396893,"Yes",2000,"2013",2013,2013,"","","interior","Somerset"
"253","303C","303",4894181,518306,"Yes",2009,"2013",2013,2013,"Outer Porcupine Island","","coastal","Hancock"
"254","304D","304",5004357,529629,"Yes",2007,"2013",2013,2013,"Tarbox Island","","interior","Penobscot"
"255","305A","305",4962870,533399,"Yes",2000,"2013",2013,2013,"","","interior","Penobscot"
"256","306B","306",4900927,491083,"Yes",2005,"2013",2013,2013,"Fernalds Neck shoreline","","interior","Waldo"
"257","307C","307",4890949,544757,"Yes",2006,"2013",2013,2013,"Roderick Head","","coastal","Hancock"
"258","308C","308",4917316,448360,"Yes",2012,"2013",2013,2013,"Webber Pond shoreline - 56 Birch Point Road","","interior","Kennebec"
"259","309B","309",5045840,401476,"Yes",2003,"2013",2013,2013,"Attean Pond islet","","interior","Somerset"
"260","310B","310",4911184,576476,"Yes",2010,"2013",2013,2013,"Rolling Island","","coastal","Hancock"
"261","312C","312",4908814,521582,"Yes",2005,"2013",2013,2013,"Grays Point area shoreline","","coastal","Hancock"
"262","313D","313",4883013,550718,"Yes",2010,"2013",2013,2013,"Southwest Point","","coastal","Hancock"
"263","314G","314",4901841,541562,"Yes",2011,"2013",2013,2013,"Tinker Island","","coastal","Hancock"
"264","315A","315",4932185,592538,"Yes",2000,"2013",2013,2013,"Foster Island","","coastal","Washington"
"265","316E","316",4856892,427034,"Yes",2010,"2013",2013,2010,"Lower Coombs Island","","coastal","Cumberland"
"266","317B","317",4906475,447487,"Yes",2007,"2013",2013,2013,"South Belfast Avenue area - middle islet","","interior","Kennebec"
"267","318A","318",4979116,513342,"Yes",2000,"2013",2013,2013,"","","interior","Penobscot"
"268","319B","319",4953096,520388,"Yes",2008,"2013",2013,2013,"","","interior","Penobscot"
"269","320B","320",5074209,419123,"Yes",2013,"2013",2013,2013,"","","interior","Somerset"
