OBJECTID,PointID,Accuracy,Type,ObsID,ObsID_1,EO_ID,Species,Year,Month,Day,TimeStart,TimeEnd,UseID,ExtDB,ExtDBID,ExtJoinFie,ExtJoinVal,POINT_X,POINT_Y
2946,Point_4009,10.00000000000,Animal Location,3880,3880,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],522A,429152.91500000000,4872952.21000000000
2947,Point_4010,5.00000000000,Animal Location,3881,3881,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],522B,428904.73300000000,4872820.87500000000
2948,Point_4011,12.00000000000,Animal Location,3882,3882,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],009F,433407.97500000000,4873081.65400000000
2949,Point_1587,12.00000000000,Animal Location,1587,1587,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],009B,433972.25962400000,4872804.23890000000
2950,Point_4012,12.00000000000,Animal Location,3883,3883,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],009E,433857.47085000000,4872719.07933000000
2951,Point_2058,12.00000000000,Animal Location,2058,2058,4516,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],204B,428558.47016600000,4865803.51506000000
2952,Point_2108,12.00000000000,Animal Location,2108,2108,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],204C,429153.00000000000,4865980.00000000000
2953,Point_1593,12.00000000000,Animal Location,1593,1593,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],010A,431340.00000000000,4871070.00000000000
2954,Point_1594,12.00000000000,Animal Location,1594,1594,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],010B,431326.00000000000,4871020.00000000000
2955,Point_1950,12.00000000000,Animal Location,1950,1950,1194,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],010E,431311.00000000000,4870970.00000000000
2956,Point_1589,12.00000000000,Animal Location,1589,1589,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],009D,436420.00000000000,4874320.00000000000
2957,Point_1586,12.00000000000,Animal Location,1586,1586,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],009A,435300.00000000000,4874830.00000000000
2958,Point_1588,12.00000000000,Animal Location,1588,1588,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],009C,435209.00000000000,4874650.00000000000
2959,Point_2002,12.00000000000,Animal Location,2002,2002,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],008H,434772.00000000000,4876260.00000000000
2960,Point_2198,12.00000000000,Animal Location,2198,2198,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],008I,435132.00000000000,4876180.00000000000
2961,Point_1581,12.00000000000,Animal Location,1581,1581,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],008C,437867.00000000000,4876010.00000000000
2962,Point_1585,12.00000000000,Animal Location,1585,1585,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],008G,435523.00000000000,4876990.00000000000
2963,Point_1579,12.00000000000,Animal Location,1579,1579,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],008A,435939.00000000000,4877640.00000000000
